ts,page_name,page_id,mode,pillar,message_len,fb_post_id,success,error_code,error_message,prompt_version
2026-03-14T16:11:54.789091,Contee's Lawn Care,684298664768779,,,0,,0,PERM,[190] Token expired — regenerate in Graph API Explorer,v3.1-short
2026-03-14T16:11:54.435995,TradeCodeTech,607790205752662,,,0,,0,PERM,[190] Token expired — regenerate in Graph API Explorer,v3.1-short
2026-03-14T16:11:53.952907,Keen Visions Trading,941966405661933,,,0,,0,PERM,[190] Token expired — regenerate in Graph API Explorer,v3.1-short
2026-03-14T04:26:52.537771,Keen Visions Trading,941966405661933,discipline,patience that feels uncomfortable,236,122123279895161154,1,,,v3.1-short
2026-03-14T04:17:46.892779,Contee's Lawn Care,684298664768779,lawn,why lawns decline even when you're trying,347,122163904418925582,1,,,v3.1-short
2026-03-14T04:17:09.227819,TradeCodeTech,607790205752662,discipline,systems built after repeated mistakes,247,122174344808826189,1,,,v3.1-short
2026-03-14T04:16:33.677170,Keen Visions Trading,941966405661933,discipline,"boredom as a feature, not a bug",283,122123278665161154,1,,,v3.1-short
2026-03-14T04:09:46.738510,Contee's Lawn Care,684298664768779,lawn,why grass color changes throughout the season,296,122163903734925582,1,,,v3.1-short
2026-03-14T04:09:25.627094,TradeCodeTech,607790205752662,discipline,filters mattering more than signals,268,122174344352826189,1,,,v3.1-short
2026-03-14T04:09:15.695997,Keen Visions Trading,941966405661933,discipline,the counterintuitive reason profitable traders feel bored,250,122123277903161154,1,,,v3.1-short
2026-03-14T04:09:01.258302,Keen Visions Trading,941966405661933,discipline,sitting in cash while the market runs,228,122123277813161154,1,,,v3.1-short
2026-03-14T03:59:06.158170,TradeCodeTech,607790205752662,,,0,,0,PERM,[100] (#100) Tried accessing nonexisting field (permissions),v3.1-short
2026-03-14T01:30:04.715168,Contee's Lawn Care,684298664768779,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 21:00:00 PST. The current time is Friday, 13-Mar-26 18:30:04 PDT.",v3.1-short
2026-03-14T01:30:04.569765,TradeCodeTech,607790205752662,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 21:00:00 PST. The current time is Friday, 13-Mar-26 18:30:04 PDT.",v3.1-short
2026-03-14T01:30:04.400804,Keen Visions Trading,941966405661933,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 20:00:00 PST. The current time is Friday, 13-Mar-26 18:30:04 PDT.",v3.1-short
2026-03-13T17:40:12.393010,Contee's Lawn Care,684298664768779,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 21:00:00 PST. The current time is Friday, 13-Mar-26 10:40:12 PDT.",v3.1-short
2026-03-13T17:40:12.276265,TradeCodeTech,607790205752662,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 21:00:00 PST. The current time is Friday, 13-Mar-26 10:40:12 PDT.",v3.1-short
2026-03-13T17:40:12.124906,Keen Visions Trading,941966405661933,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 20:00:00 PST. The current time is Friday, 13-Mar-26 10:40:12 PDT.",v3.1-short
2026-03-13T13:30:05.946855,Contee's Lawn Care,684298664768779,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 21:00:00 PST. The current time is Friday, 13-Mar-26 06:30:06 PDT.",v3.1-short
2026-03-13T13:30:05.813647,TradeCodeTech,607790205752662,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 21:00:00 PST. The current time is Friday, 13-Mar-26 06:30:05 PDT.",v3.1-short
2026-03-13T13:30:05.685866,Keen Visions Trading,941966405661933,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 20:00:00 PST. The current time is Friday, 13-Mar-26 06:30:05 PDT.",v3.1-short
2026-03-13T01:30:05.278836,Contee's Lawn Care,684298664768779,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 21:00:00 PST. The current time is Thursday, 12-Mar-26 18:30:05 PDT.",v3.1-short
2026-03-13T01:30:05.161015,TradeCodeTech,607790205752662,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 21:00:00 PST. The current time is Thursday, 12-Mar-26 18:30:05 PDT.",v3.1-short
2026-03-13T01:30:05.017740,Keen Visions Trading,941966405661933,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 20:00:00 PST. The current time is Thursday, 12-Mar-26 18:30:05 PDT.",v3.1-short
2026-03-12T14:05:11.821090,Contee's Lawn Care,684298664768779,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 21:00:00 PST. The current time is Thursday, 12-Mar-26 07:05:11 PDT.",v3.1-short
2026-03-12T14:05:11.692252,TradeCodeTech,607790205752662,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 21:00:00 PST. The current time is Thursday, 12-Mar-26 07:05:11 PDT.",v3.1-short
2026-03-12T14:05:11.578790,Keen Visions Trading,941966405661933,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 20:00:00 PST. The current time is Thursday, 12-Mar-26 07:05:11 PDT.",v3.1-short
2026-03-12T01:49:27.912155,Contee's Lawn Care,684298664768779,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 21:00:00 PST. The current time is Wednesday, 11-Mar-26 18:49:27 PDT.",v3.1-short
2026-03-12T01:49:27.767770,TradeCodeTech,607790205752662,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 21:00:00 PST. The current time is Wednesday, 11-Mar-26 18:49:27 PDT.",v3.1-short
2026-03-12T01:49:27.625098,Keen Visions Trading,941966405661933,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 20:00:00 PST. The current time is Wednesday, 11-Mar-26 18:49:27 PDT.",v3.1-short
2026-03-12T01:30:05.326472,Contee's Lawn Care,684298664768779,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 21:00:00 PST. The current time is Wednesday, 11-Mar-26 18:30:05 PDT.",v3.1-short
2026-03-12T01:30:05.166574,TradeCodeTech,607790205752662,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 21:00:00 PST. The current time is Wednesday, 11-Mar-26 18:30:05 PDT.",v3.1-short
2026-03-12T01:30:05.016134,Keen Visions Trading,941966405661933,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 20:00:00 PST. The current time is Wednesday, 11-Mar-26 18:30:04 PDT.",v3.1-short
2026-03-08T15:38:45.931781,Contee's Lawn Care,684298664768779,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 21:00:00 PST. The current time is Sunday, 08-Mar-26 08:38:46 PDT.",v3.1-short
2026-03-08T15:38:45.814617,TradeCodeTech,607790205752662,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 21:00:00 PST. The current time is Sunday, 08-Mar-26 08:38:46 PDT.",v3.1-short
2026-03-08T15:38:45.692181,Keen Visions Trading,941966405661933,,,0,,0,PERM,"[190] Error validating access token: Session has expired on Saturday, 07-Mar-26 20:00:00 PST. The current time is Sunday, 08-Mar-26 08:38:45 PDT.",v3.1-short
2026-03-08T04:45:14.432217,Contee's Lawn Care,684298664768779,lawn,seasonal mowing mistakes that damage lawns,321,122163035312925582,1,,,v3.1-short
2026-03-08T04:44:57.125187,TradeCodeTech,607790205752662,discipline,rules replacing instinct under pressure,208,,0,200,"(#200) The permission(s) publish_actions are not available. It has been deprecated. If you want to provide a way for your app users to share content to Facebook, we encourage you to use our Sharing products instead.",v3.1-short
2026-03-08T04:44:45.768400,Keen Visions Trading,941966405661933,discipline,restraint in calm environments,248,,0,190,"Error validating access token: Session has expired on Saturday, 07-Mar-26 20:00:00 PST. The current time is Saturday, 07-Mar-26 20:44:45 PST.",v3.1-short
2026-03-08T04:44:36.871209,Contee's Lawn Care,684298664768779,lawn,what to do after a freeze or sudden temperature swing,260,122163035198925582,1,,,v3.1-short
2026-03-08T04:09:15.036932,Contee's Lawn Care,684298664768779,lawn,the real reason your neighbor's lawn looks better,323,122163032366925582,1,,,v3.1-short
